"userID","freqChosen","freq1","freq2"
"HYCW9YGY",13148,6904.69932825392,3626.01709869107
"Y0EIZK1E",15566,7836.6918421479,3945.37704155129
"IK7TQVA6",15899,7962.09503537182,3987.3550130381
"H9Z0EC82",16115,8043.08637044943,4014.34926233381
"US4N4TSJ",11100,6081.24126907377,3331.66624979154
"7ZB4ENNX",15253,7718.20754481114,3905.5089297043
"IZ1661SK",15739,7901.9240577032,3967.24085480073
"XDL35P6M",14898,7583.08593177667,3859.79274054968
"R4VRIALX",18733,9004.41493922431,4328.16358286052
"M5QNSS69",18155,8795.22977642397,4260.86845607794
"4Y76DCDX",8416,4941.16430152034,2901.034298315
"LSYEQW2V",9715,5502.77941140779,3116.88947510174
"JJAP31OJ",12481,6640.28985868675,3532.84587832529
"4NW002BP",17613,8597.55576346555,4196.78448338725
"X4X1F4PI",17576,8584.00640352334,4192.37402911525
"GO7KRBMW",14469,7418.71841800607,3803.81387557278
"RHME0OI5",15525,7821.20567345889,3940.17766096911
"WGVVMZXV",14339,7368.67069791073,3786.68720651707
"S737W315",14393,7389.47346648064,3793.81074910175
"YJO0ECDE",19336,9220.93537018109,4397.27188151927
"10CNHNER",16317,8118.58300223636,4039.43065295098
"5N9LUIYJ",16330,8123.43366741818,4041.03947023535
"GAB9TDB2",16736,8274.44265323882,4090.96565617459
"DP98HRLL",15954,7982.74379334306,3994.24586123589
"4K0CQXIK",16603,8225.07612102304,4074.67790138067
"C70HXIW5",18442,8899.30340067429,4294.41497761919
"GTB2MTS0",16112,8041.96335676737,4013.97558537667
"57VNJBLZ",15236,7711.75498712798,3903.33191004813
"Q7VJJI4S",15952,7981.99324154824,3993.99549323731
"02CG7CDT",12744,6744.9591240485,3569.87394735444
"ZX0YHOLU",15354,7756.50634700718,3918.41804814136
"L7LQBYP5",15952,7981.99324154824,3993.99549323731
"5GTCX6L2",22000,10158.2058807703,4690.41575982343
"2POK5REU",16748,8278.89194287434,4092.43203975338
"806SO2EX",13975,7227.92874348107,3738.31512850374
"DUK2XRD1",19072,9126.35122686427,4367.15010046598
"8JSYN3O3",15398,7773.1712635703,3924.02854219997
"SHQ7HD82",18245,8827.91007864258,4271.4166268347
"ZLQAP1D6",15954,7982.74379334306,3994.24586123589
"L4E0KWN6",11932,6419.99860228594,3454.27271650633
"M9U7NL0N",15580,7841.9774657459,3947.15087119811
"HWO20EP6",8184,4838.65007396009,2860.7691273502
"DJ8R3EGX",20758,9724.98926752329,4556.09481903087
"2V2WCOZ0",17870,8691.47358047929,4227.29227756965
"UD8EHIVI",17624,8601.58257883973,4198.09480598045
"GIA514ZA",16062,8023.2387564247,4007.74250669875
"6US9BZK5",15846,7942.18023936752,3980.70345542091
"YY24H76V",15959,7984.62006992946,3994.87171258352
"36487PLT",16320,8119.70247223552,4039.80197534483
"XJX5OTQJ",17450,8537.81172338539,4177.31971484108
"94DAT6VA",19043,9115.94141711738,4363.8285942507
"EDWYKMM8",13879,7190.65797296469,3725.4529925903
"J467IIPL",16703,8262.20299183013,4086.93038844559
"P1ZL0SQI",11809,6370.29936442167,3436.4225584174
"7YZ1DXBC",16376,8140.58981528166,4046.72707258594
"SXZ76YBL",18016,8744.67714490959,4244.52588636234
"ACFQYE0J",17692,8626.46169122004,4206.18592076004
"V20EORXK",15631,7861.2222070669,3953.60594900402
"K2L2IIF3",16634,8236.59141478489,4078.48010906023
"A33JXNXM",15023,7630.7548332834,3875.95149608454
"9P7JDREJ",15691,7883.84299479565,3961.18669087939
"USDGU2Q6",17613,8597.55576346555,4196.78448338725
"D1CDPBCI",18646,8973.03289588546,4318.10143465853
"Z4R52VCX",22000,10158.2058807703,4690.41575982343
"D794HMRO",16367,8137.23412665146,4045.61490999823
"YIH8E8IV",17849,8683.81209042887,4224.80768793089
"7T6QFCBL",15313,7740.9669258913,3913.18284775961
"3PH4460U",19436,9256.67823525919,4408.62790446189
"8X7G2IUW",14599,7468.65384630026,3820.86377668715
"VABLEKKM",17450,8537.81172338539,4177.31971484108
"W2O0RW3X",15161,7683.26629692689,3893.71288104297
"I2E538WU",15525,7821.20567345889,3940.17766096911
"8BHLABYN",17130,8420.11498428647,4138.84041731497
"2DGI88E6",15923,7971.10759495753,3990.36339197321
"T8XH5KNK",16710,8264.79978844077,4087.78668719394
"8XTIG4V9",17121,8416.79685763097,4137.75301341198
"ESHJN1FU",15793,7922.24878414619,3974.04076476324
"IAOCS0PK",15255,7718.96655101142,3905.76496988746
"NVO09MK2",14733,7520.00954162392,3838.35902437487
"TUCBCEV4",20364,9586.21833602757,4512.64888951046
"O4XXF37X",14561,7454.06887706352,3815.88783902252
"RJDAT19P",20516,9639.83316700357,4529.45912885854
"ZWA70W2V",16958,8356.62614244086,4118.00922777014
"OTU37N2Z",19159,9157.55694759776,4377.09949624177
